"","circunscripción","organismo","año_mes","causas resueltas","a termino","luego 1er Vencim","luego 2do Vencim","sentencias","autos","sin clasif","resol vencidas"
"1","Chajarí","Jdo Civ y Com 1 -ccomp.Laboral","2024-03","49","44","4","1","31","18","0","10 %"
"2","Chajarí","Jdo Civ y Com 1 -ccomp.Laboral","2024-04","59","56","2","1","35","24","0","5 %"
"3","Chajarí","Jdo Civ y Com 1 -ccomp.Laboral","2024-05","76","74","1","1","36","40","0","3 %"
"4","Chajarí","Jdo Civ y Com 1 -ccomp.Laboral","2024-06","44","43","1","0","23","21","0","2 %"
"5","Chajarí","Jdo Civ y Com 2 -ccomp.Laboral","2024-03","45","44","1","0","28","17","0","2 %"
"6","Chajarí","Jdo Civ y Com 2 -ccomp.Laboral","2024-04","56","54","1","1","29","27","0","4 %"
"7","Chajarí","Jdo Civ y Com 2 -ccomp.Laboral","2024-05","63","63","0","0","30","33","0","0 %"
"8","Colón","Jdo Civ y Com 1","2024-03","64","64","0","0","9","55","0","0 %"
"9","Colón","Jdo Civ y Com 1","2024-04","64","64","0","0","11","53","0","0 %"
"10","Colón","Jdo Civ y Com 1","2024-05","65","63","2","0","12","53","0","3 %"
"11","Colón","Jdo Civ y Com 1","2024-06","54","54","0","0","2","52","0","0 %"
"12","Colón","Jdo Civ y Com 2","2024-03","56","55","0","1","8","48","0","2 %"
"13","Colón","Jdo Civ y Com 2","2024-04","71","69","2","0","7","64","0","3 %"
"14","Colón","Jdo Civ y Com 2","2024-05","48","46","1","1","8","40","0","4 %"
"15","Colón","Jdo Civ y Com 2","2024-06","53","52","0","1","6","47","0","2 %"
"16","Concordia","Jdo Civ y Com 1","2024-03","39","39","0","0","13","26","0","0 %"
"17","Concordia","Jdo Civ y Com 1","2024-04","35","35","0","0","12","23","0","0 %"
"18","Concordia","Jdo Civ y Com 1","2024-05","37","37","0","0","11","26","0","0 %"
"19","Concordia","Jdo Civ y Com 1","2024-06","22","22","0","0","7","15","0","0 %"
"20","Concordia","Jdo Civ y Com 2","2024-03","51","48","3","0","16","35","0","6 %"
"21","Concordia","Jdo Civ y Com 2","2024-04","60","57","3","0","11","49","0","5 %"
"22","Concordia","Jdo Civ y Com 2","2024-05","58","56","2","0","12","46","0","3 %"
"23","Concordia","Jdo Civ y Com 2","2024-06","46","46","0","0","4","42","0","0 %"
"24","Concordia","Jdo Civ y Com 3","2024-03","51","51","0","0","18","33","0","0 %"
"25","Concordia","Jdo Civ y Com 3","2024-04","48","48","0","0","13","35","0","0 %"
"26","Concordia","Jdo Civ y Com 3","2024-05","49","49","0","0","20","29","0","0 %"
"27","Concordia","Jdo Civ y Com 3","2024-06","43","43","0","0","18","25","0","0 %"
"28","Concordia","Jdo Civ y Com 4","2024-03","28","26","2","0","9","19","0","7 %"
"29","Concordia","Jdo Civ y Com 4","2024-04","33","32","1","0","9","24","0","3 %"
"30","Concordia","Jdo Civ y Com 4","2024-05","39","38","1","0","12","27","0","3 %"
"31","Concordia","Jdo Civ y Com 4","2024-06","34","33","0","0","5","29","0","0 %"
"32","Concordia","Jdo Civ y Com 6","2024-03","45","45","0","0","18","27","0","0 %"
"33","Concordia","Jdo Civ y Com 6","2024-04","34","34","0","0","10","24","0","0 %"
"34","Concordia","Jdo Civ y Com 6","2024-05","43","43","0","0","12","31","0","0 %"
"35","Concordia","Jdo Civ y Com 6","2024-06","38","38","0","0","9","29","0","0 %"
"36","Diamante","Jdo Civ y Com Lab","2024-03","77","73","3","1","5","72","0","5 %"
"37","Diamante","Jdo Civ y Com Lab","2024-04","48","46","1","1","8","40","0","4 %"
"38","Diamante","Jdo Civ y Com Lab","2024-05","55","53","0","2","5","50","0","4 %"
"39","Diamante","Jdo Civ y Com Lab","2024-06","56","53","2","1","14","42","0","5 %"
"40","Federación","Jdo Civ y Com Lab Fam","2024-03","35","35","0","0","16","19","0","0 %"
"41","Federación","Jdo Civ y Com Lab Fam","2024-04","34","34","0","0","19","15","0","0 %"
