"","circunscripcion","organismo","año_mes","Total","SUCESORIOS","EJECUCIONES","ORDINARIOS","SUMARISIMO","COBRO DE PESOS","DESALOJO","INCIDENTES","CAUTELARES","MONITORIOS","INTERDICTOS","PROC.COSTIT.","PREPARATORIOS","BENEF.LITIG.SG.","HOMOLOGACIONES","OTROS"
"1","Chajarí","Jdo Civ y Com 1 -ccomp.","2024-03","21","10","2","2","0","0","1","0","0","1","0","1","0","3","0","1"
"2","Chajarí","Jdo Civ y Com 1 -ccomp.","2024-04","27","11","5","3","0","0","0","1","0","1","0","2","0","1","0","3"
"3","Chajarí","Jdo Civ y Com 1 -ccomp.","2024-05","26","10","5","2","0","0","0","1","0","2","0","1","0","5","0","0"
"4","Chajarí","Jdo Civ y Com 1 -ccomp.","2024-06","8","0","0","4","0","0","0","0","0","0","0","1","0","3","0","0"
"5","Chajarí","Jdo Civ y Com 2 -ccomp.","2024-03","25","12","4","1","0","0","0","0","0","3","0","2","0","1","0","2"
"6","Chajarí","Jdo Civ y Com 2 -ccomp.","2024-04","14","3","3","2","1","0","0","1","0","1","0","2","0","1","0","0"
"7","Chajarí","Jdo Civ y Com 2 -ccomp.","2024-05","20","9","4","2","0","0","0","0","0","0","0","1","0","2","1","1"
"8","Colón","Jdo Civ y Com 1","2024-03","31","16","5","2","1","0","0","2","0","0","0","1","0","1","0","3"
"9","Colón","Jdo Civ y Com 1","2024-04","37","22","3","6","0","0","0","1","0","0","0","2","0","1","0","2"
"10","Colón","Jdo Civ y Com 1","2024-05","22","11","1","4","0","0","0","1","0","1","0","0","0","2","0","2"
"11","Colón","Jdo Civ y Com 1","2024-06","29","18","3","1","0","0","0","2","0","0","0","0","0","2","0","3"
"12","Colón","Jdo Civ y Com 2","2024-03","31","16","5","2","1","0","0","0","0","0","0","0","0","1","0","6"
"13","Colón","Jdo Civ y Com 2","2024-04","37","21","2","6","0","0","1","2","0","0","0","1","0","2","0","2"
"14","Colón","Jdo Civ y Com 2","2024-05","24","10","4","2","0","0","0","0","1","1","0","1","0","2","0","3"
"15","Colón","Jdo Civ y Com 2","2024-06","28","18","3","2","0","0","0","0","0","1","0","0","0","2","0","2"
"16","Concordia","Jdo Civ y Com 1","2024-03","30","9","3","3","0","0","0","3","1","3","0","4","0","3","0","1"
"17","Concordia","Jdo Civ y Com 1","2024-04","31","11","9","5","0","0","0","1","0","0","0","2","0","2","0","1"
"18","Concordia","Jdo Civ y Com 1","2024-05","38","15","7","5","0","1","1","0","0","1","0","2","0","5","0","1"
"19","Concordia","Jdo Civ y Com 1","2024-06","28","9","4","8","0","0","0","0","1","0","0","2","0","1","1","2"
"20","Concordia","Jdo Civ y Com 2","2024-03","30","11","2","6","0","0","1","2","0","1","0","2","0","1","0","4"
"21","Concordia","Jdo Civ y Com 2","2024-04","26","11","0","5","1","1","1","1","0","0","0","3","0","1","0","2"
"22","Concordia","Jdo Civ y Com 2","2024-05","37","13","5","8","0","0","0","3","0","0","0","3","0","4","0","1"
"23","Concordia","Jdo Civ y Com 2","2024-06","22","8","4","4","0","0","0","1","0","1","0","1","0","0","1","2"
"24","Concordia","Jdo Civ y Com 3","2024-03","26","10","0","5","0","0","2","0","0","0","0","3","1","1","0","4"
"25","Concordia","Jdo Civ y Com 3","2024-04","28","13","4","6","0","0","0","1","0","0","0","1","0","1","0","2"
"26","Concordia","Jdo Civ y Com 3","2024-05","40","14","6","8","0","0","1","2","0","0","0","3","0","2","0","4"
"27","Concordia","Jdo Civ y Com 3","2024-06","25","8","6","3","0","0","1","2","1","0","0","1","0","1","0","2"
"28","Concordia","Jdo Civ y Com 4","2024-03","36","13","2","8","0","0","2","2","1","1","0","3","0","3","0","1"
"29","Concordia","Jdo Civ y Com 4","2024-04","30","12","5","6","0","0","1","0","0","0","0","2","0","2","0","2"
"30","Concordia","Jdo Civ y Com 4","2024-05","37","13","7","7","1","1","1","0","0","0","0","2","0","4","0","1"
"31","Concordia","Jdo Civ y Com 4","2024-06","36","12","10","8","0","0","1","0","1","0","0","1","0","1","0","2"
"32","Concordia","Jdo Civ y Com 6","2024-03","30","9","4","4","0","0","2","0","0","1","0","4","0","2","0","4"
"33","Concordia","Jdo Civ y Com 6","2024-04","43","12","15","8","0","1","1","1","0","0","0","2","0","2","0","1"
"34","Concordia","Jdo Civ y Com 6","2024-05","33","14","1","5","0","0","1","0","1","2","0","2","0","3","0","4"
"35","Diamante","Jdo Civ y Com Lab","2024-03","30","15","6","4","0","0","0","1","0","1","0","0","0","1","0","2"
"36","Diamante","Jdo Civ y Com Lab","2024-04","46","24","8","7","1","0","0","0","0","0","0","1","0","2","1","2"
"37","Diamante","Jdo Civ y Com Lab","2024-05","48","22","8","6","0","2","0","3","0","1","0","1","0","1","0","4"
"38","Diamante","Jdo Civ y Com Lab","2024-06","38","22","4","4","0","0","0","3","2","0","0","0","0","1","0","2"
